,SN_ID,m1_g,m2_g,m3_g,b2_g,a1_g,a2_g,log_f_g,m1_r,m2_r,m3_r,b2_r,a1_r,a2_r,log_f_r,a2g-a1g,a2r-a1r,a1g-a1r,a2g-a2r,a1_abs_mag-g,+e_a1_abs_mag-g,-e_a1_abs_mag-g,a1_abs_mag-r,+e_a1_abs_mag-r,-e_a1_abs_mag-r,mag_a2g-a1g,mag_a2r-a1r,mag_a1g-a1r,mag_a2g-a2r,t_half-g,t_half_16-g,t_half_84-g,t_half-r,t_half_16-r,t_half_84-r,mag_a1-g,mag_a1-r
0,snztf18,-1.894898580469753,0.2836709888052294,-0.0346339824999196,-3.682764445560381,6.480501125577836,12.30511194345241,-4.507408966299956,-1.607324681132786,0.1281119198457306,-0.072735293227426,-2.160737759590813,7.679506270806085,14.979879702639948,-4.560905051142621,5.824610817874573,7.300373431833862,-1.1990051452282486,-2.674767759187537,-18.719859738736115,0.2748923712176774,0.2241562082114043,-18.04554091858577,1.125655030783376,1.2765105659380185,1.6451470681728622,0.934739561465765,-0.6608166147547878,0.0495908919523094,3.0799999999999343,2.909999999999938,3.369999999999928,6.339999999999865,3.8699999999999175,8.079999999999828,-1.843484701167771,-1.176838215175637
1,sn18dfi,-2.581739960386609,0.1433797099327332,-0.0537616703969245,-1.909138437916412,4.969857444629161,14.41761658987733,-2.275822704616573,-0.1709560545791643,0.1083151233537247,-0.0531218058787026,-1.749192654265737,6.830513190149883,13.667015339075668,-2.656726137898824,9.447759145248169,6.836502148925785,-1.860655745520722,0.7506012508016617,-17.642781425792624,0.1379171069380085,0.1626967083852175,-17.447846311954,0.3093582152236753,0.2862179921444512,1.3544318794982702,0.7401807324482913,-0.1873585984621513,0.4268925485878274,5.599999999999881,5.329999999999886,5.929999999999874,11.149999999999762,9.909999999999789,12.749999999999728,-1.1965412795507584,-1.0092570425420926
2,sn19rwd,-0.7401445495440206,0.1409014179855979,-0.0491499335202915,-1.90780698225772,8.353929704832897,14.17480814292625,-2.6481739274292733,-0.4733051687240457,0.091771340908097,-0.0292286087313974,-1.3939254014679288,8.781263407565458,13.807811654806656,-1.9047746618649968,5.820878438093352,5.026548247241198,-0.427333702732561,0.366996488119593,-16.41046440325364,0.4270822897475774,0.3793357234800547,-16.245070446792866,0.4824493106104288,0.4676950328888152,0.8195698591707123,0.4599989456575898,-0.1434641674422068,0.2161067460709156,6.489999999999862,5.62999999999988,7.729999999999835,6.699999999999857,5.929999999999874,7.659999999999837,-0.7278178914811626,-0.5874591063573655
3,sn20ano,,0.4983764954347748,-0.1008795001758157,-6.572783261399817,,14.67075774190645,-4.74967720510411,-0.710381322700604,0.2992398018573079,-0.0844710507085169,-4.218604100789345,9.64847363188722,14.83471490664953,-4.441431789616749,,5.186241274762312,,-0.1639571647430813,,,,-16.241954745021825,0.6971666919904336,0.6649574112333063,2.395696064244536,1.551124140506023,-0.3263274328055372,0.518244490932976,,,,3.619999999999923,3.149999999999933,4.569999999999903,,-1.3309400128664168
4,sn20ikq,-1.0890475588608286,0.0908810259096929,0.0114997039880566,-1.0409603865878312,0.0832232266493911,11.259932896988545,-1.798152451269467,-0.8240104550209313,0.0285178003579134,-0.0174418334115978,-0.561784695925265,-0.0115002108391078,17.540185228317288,-1.1446358179000515,11.176709670339154,17.551685439156397,0.0947234374884989,-6.280252331328743,-18.11200231400479,0.2009974450291128,0.1795859622495541,-17.640031642649365,0.0750633706394386,0.077638593007784,1.0151410594112484,0.4966836209795153,-0.4748455224992892,0.0436119159324439,8.969999999999809,7.48999999999984,10.739999999999773,18.699999999999605,15.159999999999677,20.439999999999564,-1.0298867272561272,-0.5620698739288472
5,sn20rsc,-2.4899487886907687,0.3478850368630085,-0.0450237060712002,-4.761371148216848,7.704197916791106,17.079262709385986,-2.069299308622968,-1.054974417025381,0.1628071494371703,-0.1209439558768186,-2.910198733013196,7.978924480234184,16.734658916919678,-0.6894817422886537,9.37506479259488,8.755734436685493,-0.2747265634430782,0.3446037924663088,-16.474666866367524,0.5945063479598485,0.5416550839324401,-15.99720768572686,0.9136608596780746,0.8705782393811212,3.25968279540632,1.42456255757521,-0.4691101946614366,1.3660100431696731,2.489999999999947,2.3199999999999505,2.679999999999943,5.449999999999884,4.439999999999905,6.839999999999854,-2.0707433741043495,-1.6109976805046222
6,sn20sbw,-4.072592593557231,0.3402767927491762,-0.2171227827837172,-4.728208884833127,11.6030503074009,14.895997306338174,-2.264486096602143,-2.9526640516555496,0.6770141605283071,-0.2288494905220271,-9.465049806901352,12.269101628635614,14.298749283841923,-2.95492372143526,3.292946998937275,2.029647655206311,-0.6660513212347148,0.5972480224962489,-16.21678837850857,0.9708166995336108,0.9943161334330384,-16.593893068090587,2.5348177202124376,2.337495556555304,1.119510648144766,1.3605012207349532,0.3679501082734604,0.1269595356832731,2.449999999999948,2.209999999999953,2.81999999999994,1.4299999999999695,1.219999999999974,1.8599999999999604,-0.7675374807929884,-1.158086057219272
7,sn21gno,-2.706942990525093,0.1403251153759957,-0.0979832234137638,-1.9337043335000383,10.50314555453708,15.018440347138442,-1.433260731990072,-2.531568973569559,-0.0229162063144375,-0.1051044220865318,0.1906091723974562,10.929793078917657,14.877640948304103,-2.583764628903721,4.515294792601361,3.9478478693864494,-0.4266475243805736,0.1407993988343374,-14.80352125690001,1.3799558175476996,1.479428317519222,-14.39954426267054,0.3422001109764814,0.3437533800564125,0.6328662703457273,-0.0937036894979512,-0.4024624106667092,0.3241075491769694,4.749999999999899,3.6399999999999215,5.499999999999883,0.3099999999999934,0.2399999999999948,0.4999999999999893,-0.45133438494239186,-0.05986496261933785
8,sn21heh,,0.1999408495844947,-0.0515478848279268,-2.0973343334923538,,13.624307949052042,-1.1557774990396386,-0.3483589211085052,0.1375089851500258,-0.0658635238531604,-1.84549655730544,3.942771511160703,13.988281546525329,-1.620877250779842,,10.045510035364623,,-0.3639735974732847,,,,-18.273708809747333,0.5047411025932753,0.4757452855937849,1.5211487782865474,1.3530884138762256,0.3805804190459254,0.5486407834562473,,,,6.279999999999866,5.329999999999886,8.549999999999818,,-1.302364567489449
9,sn21pb,,0.3837177085455737,-0.0934024523303518,-4.758604205779735,,12.77734625815069,-1.844508682533971,-0.7647481614685759,0.1978872024559171,-0.1176365548951473,-2.7080653005120103,9.19327301816543,13.437362237916528,-1.456083904511559,,4.244089219751098,,-0.6600159797658378,,,,-16.953967279514192,1.923681889805392,1.9869613829305195,1.1012698235257736,0.8389162350301895,-0.0700127363980427,0.1923408520975413,,,,4.769999999999898,3.699999999999921,6.389999999999864,,-0.8863311869090902
10,sn21vgn,-1.0115058911948256,0.1990767772618396,-0.0743965028997223,-2.722169152772224,8.13754696213196,14.936211669309944,-2.7080846912901047,-0.9395602100919644,0.1797452618769496,-0.0768533586166032,-2.6152977679952576,8.504165543084666,14.591756351105731,-2.0542257440282787,6.798664707177982,6.087590808021066,-0.3666185809527054,0.3444553182042114,-17.51944267478161,0.5294749155243554,0.5147847408902289,-17.494935463995763,0.6300073514400806,0.6539982470997758,1.3517313176078625,1.0937824579191615,-0.0148111980526637,0.2431376616360372,4.519999999999904,4.109999999999912,5.13999999999989,4.989999999999894,4.339999999999908,5.659999999999879,-1.1016841858609054,-1.0828005268725285
11,sn22hnt,,0.4067375643167407,-0.1597072604229593,-5.372787496966158,,14.904132717986483,-1.5570914041081798,-0.8925760341782458,0.3039628047601371,-0.12432783412731,-4.363900041773668,10.147552100651502,14.341342940789517,-2.374862986922317,,4.193790840138014,,0.5627897771969668,,,,-16.721734049485317,0.8654534171820822,1.0359163769159334,2.013350943367824,1.2724417355719182,-0.0479029232322743,0.6930062845636313,,,,3.379999999999928,3.0299999999999354,3.8699999999999175,,-1.2786775734583746
12,sn22jpx,,0.1282598148871838,-0.0279517503593436,-1.3762960676511968,,11.764964126831702,0.3308377537647614,-0.8582134165509026,0.0984601956903967,-0.0391461242867826,-1.230742397157964,4.016110672847124,12.310498455320047,-1.816767533590536,,8.294387782472924,,-0.5455343284883458,,,,-17.691785169341024,0.1174471867928446,0.1146349509969071,0.8862753208704215,0.8137217594303638,0.078488378887636,0.1510419403276936,,,,8.509999999999819,8.019999999999829,9.029999999999808,,-0.8349324104825883
13,sn22qzr,,0.3269035264957923,-0.1552694979944643,-4.809462976400045,,14.304671625162504,-3.288632264196427,-1.265525583078285,0.2245109413802016,-0.1419672323212433,-3.5311886341973096,8.521339414817598,13.90321325225374,-3.0922989686125715,,5.381873837436141,,0.401458372908765,,,,-16.981983442802218,1.546814584264805,1.540333415484822,1.7260506198977468,1.20210977068471,-0.2470148913425771,0.2769259578704595,,,,3.949999999999916,2.9699999999999367,5.709999999999878,,-1.6163596366380055
