,SN_ID,m1_g,m2_g,m3_g,b2_g,a1_g,a2_g,log_f_g,m1_r,m2_r,m3_r,b2_r,a1_r,a2_r,log_f_r,a2g-a1g,a2r-a1r,a1g-a1r,a2g-a2r,a1_abs_mag-g,+e_a1_abs_mag-g,-e_a1_abs_mag-g,a1_abs_mag-r,+e_a1_abs_mag-r,-e_a1_abs_mag-r,mag_a2g-a1g,mag_a2r-a1r,mag_a1g-a1r,mag_a2g-a2r,t_half-g,t_half_16-g,t_half_84-g,t_half-r,t_half_16-r,t_half_84-r
0,snztf18,-1.4532882197021948,0.2685543786479536,-0.05292599615064227,-3.864192092954501,6.714141013928119,13.107969052000968,-3.746321771573907,-1.653939950941373,0.11568347051452293,-0.07330157356405353,-2.350597755074939,7.66304076502529,15.613059512325332,-3.5640059727129736,6.393828038072849,7.950018747300042,-0.9488997510971711,-2.5050904603243644,-18.647785025196967,0.2537351978853746,0.1870135935977162,-18.044132014919537,0.49045062511446247,0.4906263773293791,1.7160624795603874,0.9173337688977545,-0.5986055828478074,0.20012312781482544,3.3499999999999286,3.189999999999932,3.659999999999922,6.949999999999852,5.689999999999879,8.559999999999818
1,sn19rwd,-0.9795900540523927,0.14217771900882678,-0.04914604265745349,-1.92108805872246,8.261811821051513,14.163971583056943,-2.7015292524537733,-0.5149438011239954,0.09114362667775322,-0.029224304209376425,-1.3861724096122305,8.728791646478744,13.82015292957411,-1.9028964515803413,5.9021597620054305,5.091361283095367,-0.4669798254272308,0.3438186534828329,-16.427768956527625,0.4048260559965473,0.35223710175782497,-16.24855467666298,0.47595340570832345,0.4597860755129828,0.8359321428812279,0.46392105978975395,-0.1529701065405097,0.21904097655096422,6.229999999999867,5.489999999999883,7.3399999999998435,6.6399999999998585,5.8899999999998744,7.579999999999838
2,sn20ano,,0.3859651147709081,-0.11080929705629394,-5.029524425626631,,14.63790591623966,-1.5396773910966164,-1.02886538299459,0.31292371550924175,-0.08374451344317949,-4.358929909389051,9.065054564002546,14.149352847189437,-3.355992231641738,,5.084298283186891,,0.4885530690502229,,,,-16.03713890640927,0.6473650153995187,0.6427266547544779,2.197799408365306,1.5896524747869147,-0.05637430130085663,0.5517726322775343,,,,3.179999999999932,2.869999999999939,3.7799999999999194
3,sn20bio,-0.679591686662625,0.18733266048780678,-0.18336873045696006,-2.579679594197998,9.410124652588069,14.71730867893379,1.3646858544145168,-0.8052824197838542,0.28281682795990304,-0.133987189601554,-3.8975989632399015,9.193013756837964,16.188674827898204,-3.466264527116631,5.3071840263457215,6.9956610710602405,0.21711089575010512,-1.4713661489644139,-15.658631731013315,2.0429770065293416,1.6639722106949,-16.133632152794362,1.245297672256176,1.1931828047723698,0.9928631005853548,1.9766138761713439,0.48007158522964155,-0.5036791903563476,5.219999999999889,3.9099999999999167,6.859999999999854,3.789999999999919,3.009999999999936,6.57999999999986
4,sn20ikq,-1.1075061051577286,0.10793410389147709,-0.0037550029269108605,-1.6518871031138738,2.2417309009843183,14.64140521348218,-1.4186533864102655,-0.9604005403129361,0.03475406126176211,-0.003679416123004128,-0.8289489766405167,1.5826487470807322,15.622304574547037,-1.4726111048074917,12.399674312497861,14.039655827466305,0.659082153903586,-0.9808993610648571,-18.214126490491235,0.18022482004338602,0.32444866594736066,-17.573363415721516,0.11828023102648832,0.11779942324345338,1.3327257425366,0.4878329331968247,-0.6309188083208952,0.21397400101888003,7.629999999999837,6.56999999999986,8.129999999999827,14.919999999999682,13.399999999999714,16.029999999999657
5,sn20rsc,-1.542455805312045,0.36486927270176456,-0.036974963756390616,-5.069791208712552,10.071302300202417,17.606732710117512,-1.6211348828401977,-0.9627491812742321,0.24294686824250844,-0.06261176776941439,-3.515343641626461,10.101721880011304,16.25439992729655,0.20946964699946166,7.5354304099150955,6.152678047285246,-0.03041957980888732,1.3523327828209624,-16.393273282395135,0.595292974183991,0.5963239695577425,-16.04199028103353,1.6390869134587644,1.48442970965249,2.7478053907530455,1.4941232396913953,-0.33302250727016913,0.9206596437914809,2.5599999999999454,2.439999999999948,2.719999999999942,3.979999999999915,3.239999999999931,5.309999999999887
6,sn21gno,-1.589472221655726,0.15196389105925517,-0.08939098191325923,-2.1153941977548,9.798066566794084,13.929084398971039,-1.4233700440130255,-1.1157650722714014,0.11977779250628057,-0.10557521491923628,-1.8716481452651978,10.381561962697235,13.48105058097142,-2.602093777619526,4.131017832176955,3.0994886182741848,-0.5834953959031512,0.44803381799961883,-14.82857441477036,1.2665794384574482,1.3952550451313623,-14.816343564673813,2.681465431505721,2.731606965289119,0.6276108700747103,0.3687234814304645,-0.0005002308676043121,0.25838715777664145,4.609999999999902,3.7699999999999196,5.389999999999885,3.7799999999999194,3.3099999999999294,4.269999999999909
7,sn21heh,-1.0180823344070036,0.16518050195184295,-0.07301482604869611,-2.609368901805114,2.6940319952994747,14.985388173314332,-1.329173259421836,-0.43323834444108267,0.13760079389505414,-0.05914182465048382,-2.6575573496709235,4.501013921101166,13.92208120063755,-2.373260777208637,12.291356178014858,9.421067279536384,-1.8069819258016917,1.0633069726767825,-18.341264392950677,0.9669596103862492,0.7990026441234357,-18.206036590032422,0.361827514009184,0.28091555412674074,2.0262971977988022,1.2960230595397002,-0.12317860356726884,0.6070955346918331,5.469999999999883,4.599999999999902,6.859999999999854,7.469999999999841,5.969999999999873,14.679999999999687
8,sn21pb,,0.2313039674752104,-0.11790405139981058,-3.3038666576601328,,13.760905533822513,-1.5406083235771395,-0.8374286675022553,0.15007988237724576,-0.12584263086238207,-2.4403612419504905,8.766433576987886,14.15698580085224,-1.7621678951318214,,5.390552223864354,,-0.39608026702972765,,,,-16.93979676610719,1.3335756787722088,1.3181406350359754,0.8966592652757295,0.8086623817841598,0.10662446932729708,0.19462135281886672,,,,5.859999999999875,4.6699999999999005,7.289999999999845
9,sn21vgn,-0.8578603217033017,0.2061767498825841,-0.06499363661505138,-2.3727710064865795,7.23651461621449,13.5272170081792,-1.6226462045685515,-1.6023910021381311,0.16631751536447542,-0.059288478012044926,-2.048997153153537,7.264506745137403,13.407664352585794,-0.33525839936747626,6.29070239196471,6.143157607448391,-0.027992128922913473,0.11955265559340589,-17.62280982625743,0.4910751265065043,0.4753606008180533,-17.570695810219522,0.8770006019827861,0.9040371124627136,1.2965299068362381,1.0201323074383253,-0.04055579649963925,0.2358418028982736,4.529999999999903,4.129999999999912,5.0899999999998915,5.019999999999893,3.9999999999999147,6.4999999999998614
10,sn22hnt,,0.351775781051223,-0.140359477154118,-4.595593968600115,,14.062883582559,-1.5985602769068117,-0.8760703121511002,0.3012634473603897,-0.12226855497727573,-4.282894512728125,9.226942125269339,13.391593442178234,-2.614484128861271,,4.164651316908895,,0.6712901403807656,,,,-16.710789198473393,0.8450092665807372,1.0269040112288979,1.776467694308638,1.25331575087195,0.07661922352605677,0.5997711669627448,,,,3.4099999999999273,3.0599999999999348,3.9099999999999167
11,sn22jpx,,0.16573303882502557,-0.03255136235298966,-1.969395938122245,,12.558126711165517,0.19092125547060476,-0.8619003776963954,0.09860265691852191,-0.0391767261955799,-1.3564645738543124,5.241788836996932,13.53779823087864,-1.8295815019701176,,8.296009393881707,,-0.979671519713122,,,,-17.691921227095524,0.12868830668144948,0.1278641732774819,1.0731791244507687,0.8177221430046837,-0.12188795605701142,0.1335690253890735,,,,8.509999999999819,8.029999999999829,9.019999999999808
12,sn22qzr,,0.24324168047551945,-0.1572519456891728,-3.904050154510529,,14.983038444417573,-2.740385037339734,-1.265636440821413,0.34372578442715773,-0.14195601701361904,-4.573563210187304,8.538785110244543,12.664144502338786,-3.083179850952707,,4.125359392094243,,2.3188939420787875,,,,-17.00376881734369,0.7651782513742162,0.7488955500353693,1.4492407621028174,1.4127837253184743,-0.07554190143770079,-0.0390848646533577,,,,2.81999999999994,2.579999999999945,3.189999999999932
